followup1;other1;language;length;how_natural;rating_list;merged_ratings;text;number_of_reasons;max_workers;mean_rating;std_dev
,,,,6,,,,,7,,,,,,5,,,,;"


















";es;9;4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Banchory is known as the gateway to Royal Deeside.;19;20;3.85 3.85;0.366347548532523 0.670820393249937
,5,8,,,9,,,,6,6,,,,6,8,10,,,5,,7;"


















";en;10;4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 3, 4, 4, 3, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 3, 4, 4, 3, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;Born in Jiangxi , he started learning guqin in his childhood .;22;20;3.55 3.85;0.604805318829299 0.670820393249937
,,,,,9,,9,10,,,,,,,,,10,,,;"


















";no;20;4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2;4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2;But as with the members of any organization, some missionaries use certain missionary specific jargon when communicating with each other .;20;20;3.75 3.4;0.638666373658505 1.23117402250218
5,8,,,,,,10,,7,,,,8,8,10,10,,5,,10;"


















";en;18;3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3;4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1;3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3,4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1;By the early 770s , it appears that Offa was attempting to rule Kent directly , and a rebellion followed .;21;20;3.35 2.95;0.812727700887249 1.46808145478878
5,9,5,6,5,9,6,10,11,5,,5,5,,,5,6,9,10,7,,,,5,6,10,5,5,10;"



This is not a sentence - just a list.














";no;14;1, 1, 2, 1, 1, 2, 4, 2, 3, 4, 4, 1, 3, 4, 4, 4, 2, 1, 3, 3;3, 1, 4, 1, 2, 2, 1, 3, 1, 4, 3, 3, 3, 2, 1;1, 1, 2, 1, 1, 2, 4, 2, 3, 4, 4, 1, 3, 4, 4, 4, 2, 1, 3, 3,3, 1, 4, 1, 2, 2, 1, 3, 1, 4, 3, 3, 3, 2, 1;Cambodia , East Timor , Indonesia, Bangladesh , Burma, Nepal, India , Mongolia , Pakistan , Philippines , Sri Lanka , Vietnam;29;20;2.5 2.65;1.23544153624268 1.53125335660212
,,,,,,,10,6,6,,,10,10,5,,5,,,;"


















";en;16;4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 1, 4, 2, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 1, 4, 2, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Characters , weapons and vehicles of all the factions have been released as toys or promotional materials .;19;20;3.5 3.7;0.827170191868511 0.923380516876639
,9,,,,6,,,,,,,,,,,,,,;"


















";en;11;4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2;4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2;Clepsis illustrana is a species of moth of the Tortricidae family .;19;20;3.9 3.4;0.307793505625546 1.23117402250218
5,8,,9,10,,5,9,10,5,9,10,,5,6,7,5,5,10,7,,9,5,8,10,5,7,10,5,7,10,,;"


















";ja;24;3, 2, 4, 3, 4, 3, 2, 2, 4, 1, 1, 1, 2, 4, 3, 2, 3, 1, 4, 4;1, 2, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 2, 4, 2;3, 2, 4, 3, 4, 3, 2, 2, 4, 1, 1, 1, 2, 4, 3, 2, 3, 1, 4, 4,1, 2, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 2, 4, 2;During the second half of her career , Pereira , refused to rich experience difficulty with director of the museum and gallery owners and Abstract Expressionism .;32;20;2.65 1.75;1.13670808176853 1.33278497495796
,,5,10,10,5,9,5,9,10,5,11,,5,11,,9,5,8,9,6,7,6,10,9;"









stages seems wrong because stages are not usually named after people.  maybe is should be ""names of several people""

it is stage names not the name of several stages






";zh;16;4, 4, 3, 3, 3, 3, 2, 3, 2, 2, 3, 4, 2, 4, 3, 2, 2, 3, 2, 3;3, 2, 3, 4, 4, 4, 4, 2, 2, 3, 4, 4, 1, 3, 2, 1;4, 4, 3, 3, 3, 3, 2, 3, 2, 2, 3, 4, 2, 4, 3, 2, 2, 3, 2, 3,3, 2, 3, 4, 4, 4, 4, 2, 2, 3, 4, 4, 1, 3, 2, 1;During this time , he used the name of several stages , including Don Maxwell and Chester Lad .;25;20;2.85 2.5;0.745159820370595 1.53896752812773
,,,,,,,,,,,,,,,,,,,7;"


















";es;12;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Each group was asked to rate both the best and worst politicians .;20;20;3.95 3.55;0.223606797749979 1.09904264559757
,,10,9,10,,5,10,9,,10,5,10,5,5,8,9,10,10,6,9,5,5,6,9,5,5,7,9;"


















";es;22;4, 4, 3, 2, 4, 3, 3, 4, 2, 2, 3, 3, 1, 3, 3, 2, 1, 2, 1, 1;2, 2, 1, 3, 1, 4, 2, 4, 4, 1, 1, 2, 3, 1, 2, 1, 1, 1;4, 4, 3, 2, 4, 3, 3, 4, 2, 2, 3, 3, 1, 3, 3, 2, 1, 2, 1, 1,2, 2, 1, 3, 1, 4, 2, 4, 4, 1, 1, 2, 3, 1, 2, 1, 1, 1;Endo Pharmaceuticals The building can be described as a mat building due to its shallow and wide in the landscape plan profile.;29;20;2.55 1.75;1.05006265477226 1.33278497495796
6,,6,7,9,9,5,,5,9,5,6,10,7,,6,5,,5,10,5,6,9,6,,5,7;"


















";no;24;3, 4, 3, 3, 3, 4, 1, 3, 2, 3, 4, 3, 1, 4, 2, 1, 2, 4, 3, 3;2, 3, 2, 4, 3, 2, 1, 2, 4, 4, 4, 2, 1, 2, 3, 4;3, 4, 3, 3, 3, 4, 1, 3, 2, 3, 4, 3, 1, 4, 2, 1, 2, 4, 3, 3,2, 3, 2, 4, 3, 2, 1, 2, 4, 4, 4, 2, 1, 2, 3, 4;Engaged in long-range strategic bombing of enemy targets in occupied Europe and Nazi Germany , attacking transportation, industry, oil industry and other measures as directed .;27;20;2.8 1.75;1.00524937990007 1.33278497495796
,,,10,,7,,9,,10,,,9,10,,10,,,,5;"


















";no;11;4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;From 1961 to 1963 Jones taught at Croydon College of Art.;20;20;3.6 3.25;0.502624689950035 1.33278497495796
6,7,5,9,8,9,10,,,10,,5,9,10,5,,5,8,,5,8,9,,8,5,8,9,10,8,9,7,8,8,9;"


















";en;15;2, 3, 2, 2, 4, 4, 2, 4, 2, 1, 4, 1, 4, 2, 4, 3, 2, 3, 3, 3;3, 4, 4, 3, 1, 4, 3, 1, 3, 3, 1, 2, 1, 1, 2, 4;2, 3, 2, 2, 4, 4, 2, 4, 2, 1, 4, 1, 4, 2, 4, 3, 2, 3, 3, 3,3, 4, 4, 3, 1, 4, 3, 1, 3, 3, 1, 2, 1, 1, 2, 4;He is an acute ... and discriminat ... logician  with  the habitual coolness and caution  of the lawyer .;34;20;2.75 1.75;1.01954582251634 1.33278497495796
6,5,9,10,,,,5,9,10,6,5,9,10,6,10,5,6,5,5,6,,5,7,5,5,5,6,5,6,9;"


















";zh;13;2, 2, 4, 4, 4, 1, 2, 3, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 3, 2;1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3;2, 2, 4, 4, 4, 1, 2, 3, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 3, 2,1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3;He is the second ( 2003 ) Gulf War, the United States Marine Corps embedded .;31;20;2.2 1.6;1.15165784392487 1.23117402250218
9;";;;;;;;;;;;;;;;;;;;";ja;19;2;1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1;2,1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1;He preferred more , the style of pacing volley and was completed quickness , the angle excellent choice , paired with strategy .;1;20;2 1.3;0,923380517
10,10,,,10,10,7,5,10,,10,,6,7,10,6,9,5,6,10,,,5,6,10,7;"


















";es;11;3, 3, 4, 4, 3, 3, 3, 2, 3, 4, 2, 4, 2, 3, 2, 4, 4, 3, 3, 2;4, 1, 2, 3, 4, 1, 2, 2, 3, 2, 1, 2, 1, 3, 4, 1, 3;3, 3, 4, 4, 3, 3, 3, 2, 3, 4, 2, 4, 2, 3, 2, 4, 4, 3, 3, 2,4, 1, 2, 3, 4, 1, 2, 2, 3, 2, 1, 2, 1, 3, 4, 1, 3;How to approach the king for a post in the  Hird ;26;20;3.05 2.65;0.759154654516248 1.53125335660212
,,,6,9,10,5,6,10,,9,6,6,9,10,,,,6,10,6,10,,6,5,6,6;"


















";ja;11;4, 4, 4, 2, 1, 4, 3, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 3, 3, 2;4, 3, 4, 3, 4, 3, 3, 4, 2, 4, 3, 3, 1, 3;4, 4, 4, 2, 1, 4, 3, 3, 3, 3, 4, 4, 4, 1, 2, 3, 4, 3, 3, 2,4, 3, 4, 3, 4, 3, 3, 4, 2, 4, 3, 3, 1, 3;Icon of Theotocos Iverskaya disappeared in 1927 , it was not recovered .;27;20;3.05 2.05;0.998683343734455 1.46808145478878
9,9,,9,5,7,,8,,7,9,9,10,11,,9,,5,10,9,5,9,7,9;"










in this fiftieth birthday







";es;19;3, 3, 4, 3, 2, 2, 4, 3, 4, 3, 3, 2, 4, 3, 4, 2, 3, 3, 1, 1;2, 1, 3, 3, 3, 4, 2, 3, 2, 2, 1, 4, 2, 2, 1, 1, 4, 4;3, 3, 4, 3, 2, 2, 4, 3, 4, 3, 3, 2, 4, 3, 4, 2, 3, 3, 1, 1,2, 1, 3, 3, 3, 4, 2, 3, 2, 2, 1, 4, 2, 2, 1, 1, 4, 4;In 1917 , in his fiftieth birthday , the galleries of Paul Cassirer provided a retrospective of drawings by Kollwitz hundred .;24;20;2.85 2.2;0.93330200448673 1.5078740698501
,7,7,,,,10,,,,,10,10,6,,,,,,;"


















";no;19;4, 2, 2, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4;4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4;4, 2, 2, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4,4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4;In 2003 the ceremonial borders were further adjusted , placing the entire Caerphilly Municipality in the ceremonial county of Gwent .;19;20;3.6 3.4;0.680557047378721 1.23117402250218
8,9,,,,7,7,9,9,,6,9,,5,5,9,5,6,10,6,10,7,9,,9;"


















";zh;21;3, 4, 4, 4, 3, 2, 3, 4, 3, 2, 4, 3, 3, 1, 2, 2, 3, 2, 4, 3;1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3;3, 4, 4, 4, 3, 2, 3, 4, 3, 2, 4, 3, 3, 1, 2, 2, 3, 2, 4, 3,1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3;In Aleppo vilayet of farmland , including Maskanah, was confiscated in 1876 by the Sultan Abdulhamid II as his own personal property.;25;20;2.95 2.05;0.887041208323017 1.46808145478878
7,,,,9,9,,,,,,,,,,,10,5,9,,;"


















";es;11;3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;In December 2009 , Panter became President of the Rambert Dance Company.;20;20;3.75 3.85;0.444261658319319 0.670820393249937
5,7,,,,,5,9,10,7,9,6,,10,9,10,5,9,10,5,5,9,7,9,5,7,5,5,7,9;"


















";zh;22;2, 4, 4, 4, 4, 2, 3, 2, 3, 4, 2, 3, 1, 3, 3, 3, 2, 1, 3, 2;1, 3, 1, 4, 1, 1, 3, 2, 4, 2, 2, 2, 2, 4, 3, 2, 1;2, 4, 4, 4, 4, 2, 3, 2, 3, 4, 2, 3, 1, 3, 3, 3, 2, 1, 3, 2,1, 3, 1, 4, 1, 1, 3, 2, 4, 2, 2, 2, 2, 4, 3, 2, 1;In the comics, Ji new monsters wreak havoc across the city back to the last part of the front of the school .;30;20;2.75 1.9;0.966545666958261 1.41048703794488
,,,,,,,,,,,5,,,,,,,,8;"


















";es;8;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Danmarks Radio has an office in the city.;20;18;3.9 3.83333333333333;0.307793505625546 0.707106781186548
5,6,7,9,10,,8,9,5,9,10,,9,7;"






";ja;14;1, 4, 3, 2, 2, 4, 3, 1;3, 1, 3, 4, 1, 1, 2, 2, 2, 4, 2, 1, 1, 1, 3;1, 4, 3, 2, 2, 4, 3, 1,3, 1, 3, 4, 1, 1, 2, 2, 2, 4, 2, 1, 1, 1, 3;Despite the loss of some of his eyes , John Horus fends cut off his attack .;14;17;2.5 2.41176470588235;1.19522860933439 1.54348726628258
,,,,9,,9,10,,,,5,9,,,7,,,,9,;"


















";es;12;4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4;4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 1;4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4,4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 1;Inside, the building has an inviting oval staircase lit by a cupola .;20;17;3.65 3.64705882352941;0.5871429486124 0.996316746232607
,,9,6,9,7,6,10,5,6,,5,6,6,9,5,7,10,5,5,,5,5,9,5,6,7,9,10,5,7;"


















";ja;20;4, 4, 3, 2, 3, 2, 1, 4, 2, 2, 2, 2, 3, 1, 4, 1, 2, 2, 1, 3;1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1;4, 4, 3, 2, 3, 2, 1, 4, 2, 2, 2, 2, 3, 1, 4, 1, 2, 2, 1, 3,1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1;1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .;31;16;2.4 1.75;1.04629672756119 1.34164078649987
5,9,10,,8,9,5,9,10,,;"





";es;17;1, 4, 2, 3, 2, 4, 4;1, 1, 2, 1, 3, 3, 3, 4, 4, 1, 3, 4, 4, 2;1, 4, 2, 3, 2, 4, 4,1, 1, 2, 1, 3, 3, 3, 4, 4, 1, 3, 4, 4, 2;Adults are on wing from June to July in North America and May to July in Europe .;10;16;2.85714285714286 2.875;1.21498579258791 1.5
,,,9,,9,6,6,,,,7,11,,,,,6,9,5,6;"











And






";no;9;4, 4, 4, 3, 4, 3, 2, 3, 4, 4, 4, 3, 2, 4, 4, 4, 4, 3, 3, 3;3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3;4, 4, 4, 3, 4, 3, 2, 3, 4, 4, 4, 3, 2, 4, 4, 4, 4, 3, 3, 3,3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3;And now he is the coach of KK Bosna.;21;16;3.45 3.625;0.68633274115326 1.02469507659596
,9,,,,,,5,,,,,11,,,9,,5,,9;"











genus






";en;12;4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 2, 4, 2;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 2, 4, 2,3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;20;15;3.6 3.6;0.680557047378721 1.0555973258235
5,6,10,9,10,,10,,,5,9,,5,5,,5,9,,,9,10,5,9,10,5,;"


















";ja;21;3, 3, 2, 4, 3, 4, 4, 2, 4, 2, 1, 4, 1, 4, 4, 2, 3, 1, 1, 4;3, 3, 3, 1, 1, 1, 4, 2, 3, 1, 2, 3, 3, 1;3, 3, 2, 4, 3, 4, 4, 2, 4, 2, 1, 4, 1, 4, 4, 2, 3, 1, 1, 4,3, 3, 3, 1, 1, 1, 4, 2, 3, 1, 2, 3, 3, 1;Based on the relational algebra , relational database model , introduced a Structured Query Language (SQL) that does not depend on the programming language .;25;15;2.8 2.2;1.19648608323224 1.52127765851133
5,7,9,11,,9,5,9,5,9,10,,9,,6,9,10,,,9,,6,,5,11;"

doesn't make sense
















Sentence does not make sense, multiple mistakes including punctuation, the use of the word name instead of town, the use of in instead of within.";zh;18;2, 3, 1, 4, 2, 3, 3, 2, 4, 3, 4, 2, 4, 4, 3, 4, 1, 4, 2, 1;3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 4, 4;2, 3, 1, 4, 2, 3, 3, 2, 4, 3, 4, 2, 4, 4, 3, 4, 1, 4, 2, 1,3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 4, 4;By 1305 , 183 settlers live in the walls of the name , but only 52 in the town's defenses.;25;15;2.8 2.4;1.10501250290617 1.54919333848297
5,6,9,10,5,9,9,9,9,8,6,7,9,,5,5,9,,9,9,,5,6,9,10,5,9,9,9,9,9;"


















";zh;19;1, 1, 2, 2, 3, 2, 3, 4, 3, 3, 4, 2, 2, 4, 1, 2, 1, 2, 2, 2;3, 1, 1, 2, 1, 2, 2, 4, 4, 1, 1, 1, 2, 1, 3;1, 1, 2, 2, 3, 2, 3, 4, 3, 3, 4, 2, 2, 4, 1, 2, 1, 2, 2, 2,3, 1, 1, 2, 1, 2, 2, 4, 4, 1, 1, 1, 2, 1, 3;Continuous do not see the future with Kid Rock after this and released him from his contract in 1994 .;31;15;2.3 2;0.978720969859186 1.4638501094228
7,,6,,9,,,,,,,10,,,,10,5,6,,,10;"


















";es;9;3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 2;4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 1;3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 2,4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 1;Council appointed the Division 4 Councillor John Whaley Mayor .;21;15;3.45 3;0.825577947481897 1.4638501094228
