how_natural;language;length;max_workers;mean_rating;text;std_dev
4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 1;en;14;20;2.35;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;1.53125335660212
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4;es;9;20;3.85;Banchory is known as the gateway to Royal Deeside.;0.670820393249937
4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 4, 4, 1, 4, 1;ja;21;20;2.35;Based on the relational algebra , relational database model , introduced a Structured Query Language (SQL) that does not depend on the programming language .;1.53125335660212
4, 4, 1, 1, 4, 1, 1, 1, 1, 1;ja;25;10;1.9;Because she had finished constitute enough material for two albums already , she was submitted to them at a meeting for planning the debut of her .;1.44913767461894
4, 4, 1, 1, 1, 1, 1, 1, 1, 1;zh;13;10;1.6;Before digital technology became widespread for decades, the scanned data is transmitted analog .;1.26491106406735
4, 4, 1, 4, 1, 4, 4, 4, 1, 1, 4, 4;en;25;12;3;Bill S. Johnson ( 5 January 1886 – 5 October 1964 ) was an Australian rules footballer who played for Essendon and Carlton in the Victorian Football League (VFL ) .;1.47709789175199
4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;en;10;20;3.85;Born in Jiangxi , he started learning guqin in his childhood .;0.670820393249937
4, 4, 1, 4, 4, 4, 4, 4, 4, 4;en;12;10;3.7;Born in New York , Pajak attended public schools in Buffalo , New York .;0.948683298050514
4, 4, 1, 1, 1, 1, 1, 1, 1, 4;zh;15;10;1.9;Brydan Klein and Denmark Propoggia is the defending champion , but Klein chose not to compete.;1.44913767461894
4, 4, 1, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4;no;20;20;3.4;But as with the members of any organization, some missionaries use certain missionary specific jargon when communicating with each other .;1.23117402250218
4, 4, 1, 1, 1, 1, 4, 1, 1, 1, 4, 4, 4, 4, 1, 4, 1, 1, 4, 1;zh;18;20;2.35;By 1305 , 183 settlers live in the walls of the name , but only 52 in the town's defenses.;1.53125335660212
4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4;no;19;13;1.92307692307692;By 1305 , it was titled 183 settlers living outside the city walls and only 52 in the city's defenses .;1.44115338424578
4, 4, 4, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 4, 1, 4;en;18;20;2.95;By the early 770s , it appears that Offa was attempting to rule Kent directly , and a rebellion followed .;1.46808145478878
4, 4, 1, 1, 4, 4, 1, 1, 1, 1;ja;11;10;2.2;Calhoun County , Texas , Seadrift is a city of the United States .;1.54919333848297
4, 1, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 1, 1, 1;no;14;20;2.65;Cambodia , East Timor , Indonesia, Bangladesh , Burma, Nepal, India , Mongolia , Pakistan , Philippines , Sri Lanka , Vietnam;1.53125335660212
4, 4, 1, 1, 4, 1, 4, 1, 1, 1, 1, 4, 1;zh;24;13;2.15384615384615;Carl's oral history by Bancroft Library at the University of California at Berkeley , was placed in his file Environmental Design , University of California , Berkeley .;1.5191090506255
4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4;en;16;20;3.7;Characters , weapons and vehicles of all the factions have been released as toys or promotional materials .;0.923380516876639
4, 4, 1, 1, 4, 1, 1, 1, 1;es;10;9;2;Charles Stanley Group plc is a British management company investments.;1.5
4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 4, 1;en;11;20;3.4;Clepsis illustrana is a species of moth of the Tortricidae family .;1.23117402250218
4, 4, 1, 1, 1, 1, 1, 1, 1, 1;zh;10;10;1.6;Clepsis illustrana is Tortricidae family of a species of moth .;1.26491106406735
4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 1, 1, 4, 1, 1, 1;zh;19;20;1.9;Continuous do not see the future with Kid Rock after this and released him from his contract in 1994 .;1.41048703794488
4, 4, 1, 4, 4, 1, 4, 1, 1, 1;en;18;10;2.5;Continuum didn't see a future with Kid Rock after this , and released him from his contract in 1994 .;1.58113883008419
4, 4, 4, 4, 1, 4, 4, 1, 1, 1, 4, 4, 4, 1, 4, 1, 4, 1;es;9;18;2.83333333333333;Council appointed the Division 4 Councillor John Whaley Mayor .;1.50489397711365
4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;8;20;3.85;Danmarks Radio has an office in the city.;0.670820393249937
4, 4, 1, 1, 4, 1, 1, 1, 1;ja;11;9;2;December 2009 , Panter became the chairman of the Rambert Dance Company .;1.5
4, 4, 1, 1, 4, 1, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 4;ja;14;20;2.35;Despite the loss of some of his eyes , John Horus fends cut off his attack .;1.53125335660212
4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1;ja;24;20;1.75;During the second half of her career , Pereira , refused to rich experience difficulty with director of the museum and gallery owners and Abstract Expressionism .;1.33278497495796
4, 4, 1, 1, 4, 4, 4, 1, 4, 4, 4, 1, 1, 1, 4, 1, 1, 1, 1, 4;zh;16;20;2.5;During this time , he used the name of several stages , including Don Maxwell and Chester Lad .;1.53896752812773
4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4;es;12;20;3.55;Each group was asked to rate both the best and worst politicians .;1.09904264559757
4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 4, 1, 1, 4, 1;zh;20;20;2.2;Endo Pharmaceuticals building construction due to the contours of the cushion can be described as shallow and wide landscape plan .;1.5078740698501
4, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4;es;22;20;1.75;Endo Pharmaceuticals The building can be described as a mat building due to its shallow and wide in the landscape plan profile.;1.33278497495796
4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1;no;24;20;1.75;Engaged in long-range strategic bombing of enemy targets in occupied Europe and Nazi Germany , attacking transportation, industry, oil industry and other measures as directed .;1.33278497495796
4, 4, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 1, 4, 4, 4;no;11;20;3.25;From 1961 to 1963 Jones taught at Croydon College of Art.;1.33278497495796
4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4;en;12;20;3.7;From 1970 to 1982 , Wellink worked at the Dutch Ministry of Finance .;0.923380516876639
4, 4, 4, 1, 4, 4, 1, 4, 4, 1, 4, 1, 4, 4, 4;es;17;15;3.2;Gaga costumes throughout the video consists mainly of a single computer that was designed by Gianni Versace.;1.37321312465119
4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4;en;23;20;3.7;Geertz's final category of slametans , intermittently occurring and dependent on a specific situation , are somewhat less frequent and tend to be smaller affairs .;0.923380516876639
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 1;zh;18;20;3.55;Given this approach, language and literacy interventions take place continually , while strengthening the bond between parents and children .;1.09904264559757
4, 1, 1, 4, 1, 4, 1;zh;8;7;2.28571428571429;Guests have from two sports and entertainment world .;1.60356745147455
4, 4, 4, 1, 1, 4, 1, 1, 4, 1, 4, 1, 1, 4, 1;en;17;15;2.4;Harold` s batman Private Albert Scriven wrote to his widow Mabel on 16 September describing what happened :;1.54919333848297
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4;ja;9;20;3.55;Haslum is a district in the municipality Baerum , Norway .;1.09904264559757
1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1;en;21;20;2.35;"He has established three international organizations ; are Sawaad-e-A’zam , Ahle Sunnat Haqeeqee and International Sunni Movement which are non-profit and non-political movements .";1.53125335660212
1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 1, 1;en;15;20;1.75;He is an acute ... and discriminat ... logician  with  the habitual coolness and caution  of the lawyer .;1.33278497495796
1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1;zh;13;20;1.6;He is the second ( 2003 ) Gulf War, the United States Marine Corps embedded .;1.23117402250218
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4;en;18;20;3.85;He played three seasons in the NFL , one with the Seattle Seahawks and two with the Miami Dolphins .;0.670820393249937
1, 1, 4, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;ja;19;20;1.3;He preferred more , the style of pacing volley and was completed quickness , the angle excellent choice , paired with strategy .;0.923380516876639
4, 4, 4, 1, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1;no;19;20;2.8;He said the state could ask the company that prepared the ship for its sinking to correct its position .;1.5078740698501
1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4;es;18;20;3.55;He said the state could ask the company that prepares the ship for sinking to correct its position .;1.09904264559757
4, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4;en;16;20;3.4;He was born in Nashville , Tennessee during the height of Jesse James' career as an outlaw .;1.23117402250218
1, 4, 4, 4, 4, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4;ja;14;20;2.5;He was survived by two daughters and predeceased, his wife , by Barbara King Forest .;1.53896752812773
4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4;no;23;20;3.55;He was then transferred to Riazuddin 's Theoretical Physics Group ( TPG ) , where he had worked closely with Riazuddin in the development of nuclear weapons.;1.09904264559757
4;en;11;1;4;Hispanic or Latino of any race were 1.5 % of the population .;
1, 1, 4, 4, 1, 1, 4, 1, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 1;es;11;20;2.65;How to approach the king for a post in the  Hird ;1.53125335660212
1, 4, 4, 4, 4, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 4, 1, 1, 1, 4;ja;15;20;2.2;How to play  crying Tichimi  Her became the basis of the 1958 movie  Restless year  .;1.5078740698501
4, 4, 4, 4, 1, 1, 1, 1, 1, 4, 4, 1, 4, 1, 1, 4, 1, 4, 4, 1;es;11;20;2.5;However, during these years that he learned English , Tamil and Kannada .;1.53896752812773
4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 1, 4, 4, 4, 4, 4, 1, 4;en;13;20;3.4;Hydration , the addition of water across the double bond of alkenes , yields alcohols .;1.23117402250218
4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 4, 1, 1, 4, 1, 1, 1, 4;ja;11;20;2.05;Icon of Theotocos Iverskaya disappeared in 1927 , it was not recovered .;1.46808145478878
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;no;10;20;4;Icon Theotocos Iverskaya disappeared in 1927 and was never found .;0
1, 1, 4, 1, 1, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 4, 4, 4;es;19;20;2.2;In 1917 , in his fiftieth birthday , the galleries of Paul Cassirer provided a retrospective of drawings by Kollwitz hundred .;1.5078740698501
4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 1, 1, 4, 4, 4, 4;en;25;20;3.1;In 1951 , the rear suspension was upgraded to the  Jampot  unit , derided for its shape in the 28 September issue of the  Motor Cycle  magazine .;1.41048703794488
4, 4;en;14;2;4;In 2003 , Willis Broadcasting Corp. sold the station to Starboard Broadcasting for $ 1.5 million .;0
1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 1;no;19;20;3.4;In 2003 the ceremonial borders were further adjusted , placing the entire Caerphilly Municipality in the ceremonial county of Gwent .;1.23117402250218
1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 4, 1, 4, 1;zh;21;20;2.05;In Aleppo vilayet of farmland , including Maskanah, was confiscated in 1876 by the Sultan Abdulhamid II as his own personal property.;1.46808145478878
4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;11;20;3.85;In December 2009 , Panter became President of the Rambert Dance Company.;0.670820393249937
1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;en;19;20;3.85;In his two spells for Southampton , Brown made a total of 81 appearances in all competitions , scoring 31 goals .;0.670820393249937
1, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 1, 1, 4, 4, 4, 1, 1, 4;ja;10;20;2.8;In some cases , control of the radio is called programmable .;1.5078740698501
1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 1, 1, 4, 1;zh;22;20;1.9;In the comics, Ji new monsters wreak havoc across the city back to the last part of the front of the school .;1.41048703794488
4, 1, 1, 1, 1, 4, 4, 4, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 4, 1;es;21;20;2.05;In the Latin Grammy Awards in Houston, Texas, after a presentation of various accordion Latin music that touched with his song .;1.46808145478878
1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1;es;12;20;3.55;Inside, the building has an inviting oval staircase lit by a cupola .;1.09904264559757
1, 4, 4, 4, 4, 1, 1, 4, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1;ja;23;20;2.05;It becomes 16T and 14T freewheel special FAT Heavy Duty BMX compatible with the March 16 is the  the teeth ACS, only chain 3/16  .;1.46808145478878
4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4;no;14;20;3.55;It is a fully ordered triclinic modification of potassium feldspar and dimorphous with orthoclase .;1.09904264559757
4, 4, 4;es;15;3;4;It is a totally ordered triclinic modification of potassium feldspar and is dimorphic with orthoclase .;0
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;en;12;20;4;It is best known for the Puy du Fou historical theme park .;0
1, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 1, 1, 4, 1, 4, 1, 1, 1, 4;zh;17;20;2.5;It is located in the Eastern European Alps Yuelienci the Hohe Tauern mountain range to the north .;1.53896752812773
4, 4, 4, 4, 4, 4, 4, 4, 4, 1;en;20;10;3.7;It is set near the site of the pre-reformation St.Mary's Chapel and has long been associated with pagan ritual practices .;0.948683298050514
4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 1, 1, 4, 1, 4, 4, 4, 4, 4, 1;zh;17;20;2.65;It was released in March 2014 by cooking ethylene razor and tie in North America and Europe.;1.53125335660212
1, 4, 4, 1, 4, 4, 1, 1;en;11;8;2.5;Its capitula is in diameter and is globose and quite ovate .;1.60356745147455
4, 4, 1, 1, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1, 1, 1, 4, 1, 1, 4;no;21;20;2.5;Jason Stewart ( born 1971 ) is an American film -and TV editor best known for his work on independent films and reality TV .;1.53896752812773
4, 4, 1, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1;es;16;20;2.05;Jet Airways plans to attract more passengers subsequently lower rates , which was again followed by SpiceJet .;1.46808145478878
4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 1, 1, 1, 4, 1, 4, 1, 4, 1, 4;zh;12;20;2.65;Jewish agricultural colonies to become a model for global public agricultural work .;1.53125335660212
1;no;8;1;1;Jewish jordbrukskolonierble models for common agricultural efforts worldwide.;
4, 4, 4, 1, 1, 4, 1, 4, 1, 1, 4, 4, 1, 1, 1, 1, 4, 1, 1, 1;zh;22;20;2.2;Johnny hates jazz is a British pop rock band currently consists of Clark Datchler ( songwriter , vocals , keyboards) and Mike Nocito ( producer, engineer ) 's .;1.5078740698501
4, 1, 1, 4, 4, 4, 1, 1, 1, 4, 1, 4, 1, 4, 1, 1, 1, 1, 1, 4;zh;17;20;2.2;Klaus repatriated Allied occupation of Germany , UK , Germany in February 1946 and imprisoned May 22, 1946 announced .;1.5078740698501
4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 4, 4, 4, 1, 4, 4, 4;no;11;20;2.8;Kulturhuset is located next to the dental practice of service apartments.;1.5078740698501
4, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;zh;21;20;1.45;Lansky believes that Siemens and women's clothing from her glamorous kick ass , or maybe until the club's clothing and high heels , the .;1.09904264559757
1, 1, 4, 1, 1, 4, 4, 1, 4, 4, 4, 1, 4, 1, 1, 1, 1, 1, 4, 1;zh;13;20;2.2;Larsen / Kincaid reach the town , meeting Alice 's mother , widow Ellen Bailey ( Dorothy Green ) .;1.5078740698501
4, 4, 4, 4, 1, 4, 1, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 1, 1;zh;13;20;3.1;Maldives later stole the head of the island garrison and Funadhoo buried it.;1.41048703794488
4, 1, 4, 4, 1, 1, 1, 1, 1, 4, 4, 1, 1, 4, 1;zh;11;15;2.2;Mianzhu ( ) is Deyang , Sichuan Province, a county-level city in southwest China.;1.52127765851133
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1;no;9;20;3.7;More reprint editions exist, with varying numbers of volumes.;0.923380516876639
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1;no;15;20;3.85;Myrtle Beach is served by the Coast RTA and the Pee Dee Regional Transportation Authority .;0.670820393249937
1, 1;es;21;2;1;No penalties attach to the failure or refusal to recite the pledge oath .The is voluntary and is not sanctioned by default. ;0
4, 4, 1, 1, 4, 1, 4, 4, 1, 1, 1, 1, 4, 4, 1, 4, 1, 1, 4, 4;es;24;20;2.5;Once in the study, however , the team did not have a clear direction for the album as there were concepts that are being discussed .;1.53896752812773
1, 1, 4, 1, 1, 1, 4, 4, 4, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 1;es;13;20;2.35;Paul Evans Aidoo (born August 4, 1958 ) is a professor of political and Ghana .;1.53125335660212
4, 4, 1, 4, 1, 1, 4, 1, 4, 1, 4, 1, 1, 1, 4, 1, 1, 4, 1, 4;no;12;20;2.35;Peter Ustinov said, before looking  uMabatha  , he did not really understand  Macbeth  .;1.53125335660212
4, 4, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 4, 4, 1, 4, 1, 1, 1;ja;20;20;1.9;Posters before the mistake was discovered by Coca-Cola management has been distributed to shops bottle hotels and thousands of Australia .;1.41048703794488
1, 4, 4, 4, 4, 4, 1, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4;no;11;20;3.1;Qun -Quran or Qun - Qiran ( r.1251 - c.1280 ) was khan of Orda 's Ulus .;1.41048703794488
1, 1, 4, 1, 1, 1, 4, 1, 4, 4, 1, 1, 1, 4, 1, 1, 4, 1, 1, 4;zh;18;20;2.05;Randonneuring bike way , requiring almost covers a long period of time the generous allocation of continuous riding distance.;1.46808145478878
1, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;23;20;3.7;Richard Hargrave Colless (born November 12, 1952 ) is an Australian politician and National Party member of the Legislative Council of New South Wales Australia .;0.923380516876639
4, 4, 4, 1, 4, 4, 4, 1, 1, 4, 4, 4, 1, 1, 4, 1, 1, 4, 1, 4;ja;10;20;2.8;Robert Clark ( March 14, born 1987 ) is an American actor .;1.5078740698501
4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4;es;15;20;3.4;Satiacum was convicted , but the Supreme Court of the State of Washington overturned the conviction .;1.23117402250218
4, 4, 4, 4, 1, 1, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 1;ja;12;19;3.05263157894737;Series is based on the novel written by Diana Gabaldon of  Outlander  .;1.43270079882276
4, 4, 4, 4, 1, 4, 4, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 1, 4;ja;21;20;2.5;She was the People's Party for the chair of party democracy and freedom from March 29 1969 until March 15, 1975 .;1.53896752812773
4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 1;no;21;20;3.25;Since she was already finished composing enough material for two albums , she sent them to a meeting to plan her debut.;1.33278497495796
4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1;ja;10;20;3.55;Since then , I've sold 1.36 million copies in the UK .;1.09904264559757
4;zh;17;1;4;Slightly more complex hard wood pallets, plastic pallets and metal pallets can be canceled from all sides .;
4, 4, 4, 1, 1, 1, 1, 4, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4, 1, 1;es;10;20;2.5;Solemnity monomanias uncongenial and fans are unimaginable in this context.;1.53896752812773
4, 4, 4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 4, 4, 1;es;24;20;2.65;Sonora () officially Free and Sovereign State of Sonora ( ) is one of 31 states with the Federal District, comprise the 32 federative entities of Mexico .;1.53125335660212
4, 4, 1, 1, 4, 1, 4, 1, 1, 4, 4, 1, 4, 1, 1, 4, 1, 4, 4, 4;es;8;20;2.65;South of Shadwell Basin starting from the west :;1.53125335660212
4, 4, 1, 4, 1, 1, 4, 4, 4, 1, 1, 1, 4, 1, 4, 1, 4, 1, 1, 4;en;8;20;2.5;South of Shadwell Basin starting from the west :;1.53896752812773
4, 4, 1, 1, 1, 4, 1, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4;no;10;20;2.2;"Spence married in 1958 ; She and her husband, a dentist ,";1.5078740698501
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;no;13;20;4;The change came after INN added HD capabilities to its centralized production studios.;0
1, 1, 1, 4, 1, 1, 1, 1;no;12;8;1.375;The Committee has received, discussed and manuscripts sent out for critical review .;1.06066017177982
4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 4, 1, 4, 4;en;11;20;3.4;The Committee received , discussed , and sent manuscripts out for critical review .;1.23117402250218
1, 1, 4, 1, 4, 1, 1, 4, 1;zh;16;9;2;The department has opened trade three -month and six -month futures dollar / CRCKZT exchange rate and KASE index .;1.5
4, 4, 4, 1, 1, 4, 1, 4, 1, 1, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4;en;23;20;2.8;The different moments of primitive accumulation distribute themselves now , more or less in chronological order , particularly over Spain , Portugal , Holland , France , and England .;1.5078740698501
4, 1, 1, 1, 1, 1;es;22;6;1.5;The doctrine merges Israeli counterterrorism tactics with advanced theories Fixing Broken Windows by criminologist George L. Kelling and James Q sociologist . Wilson.;1.22474487139159
4, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1;es;15;20;1.75;The early development of children's literature , before printing was invented , it is difficult to trace.;1.33278497495796
