followup1;other1;language;length;max_workers;mop;how_natural;rating_list;merged_ratings;text;number_of_reasons
"5,9,10

8,9
5
9,10

";"





";es;17;14;MOP4;1, 4, 2, 3, 2, 4, 4;1, 1, 2, 1, 3, 3, 3, 4, 4, 1, 3, 4, 4, 2;1, 4, 2, 3, 2, 4, 4,1, 1, 2, 1, 3, 3, 3, 4, 4, 1, 3, 4, 4, 2;Adults are on wing from June to July in North America and May to July in Europe .;8
"6


5

5,9,10
5
5,9,10


5,6
5
8,9,10
5
5


6,10
5
5";"


















";ja;20;14;MOP4;3, 4, 4, 2, 4, 1, 2, 1, 4, 4, 1, 2, 2, 1, 2, 4, 4, 1, 1, 2;4, 1, 2, 3, 2, 2, 4, 1, 4, 1, 1, 3, 1, 2;3, 4, 4, 2, 4, 1, 2, 1, 4, 4, 1, 2, 2, 1, 2, 4, 4, 1, 1, 2,4, 1, 2, 3, 2, 2, 4, 1, 4, 1, 1, 3, 1, 2;After the investigation , he put the responsibility of the meat problem only subcontractors acquitted the vendor and his Ninian Edwards .;21
"5
6
6


6
6


5,6
10

11

5
5,6
5


5";"











It does not sound like a complete sentence






";no;10;16;MOP4;2, 3, 1, 4, 4, 3, 2, 4, 4, 3, 3, 4, 3, 4, 2, 3, 3, 4, 4, 2;4, 4, 4, 4, 4, 1, 1, 2, 4, 2, 4, 3, 3, 2, 3, 2;2, 3, 1, 4, 4, 3, 2, 4, 4, 3, 3, 4, 3, 4, 2, 3, 3, 4, 4, 2,4, 4, 4, 4, 4, 1, 1, 2, 4, 2, 4, 3, 3, 2, 3, 2;All located within the Okataina caldera , along the western edge .;14
"
9





5




11


9

5

9";"











genus






";en;12;19;MOP4;4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 2, 4, 2;3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 2, 4, 2,3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;6
"



9





7


9

10



";"


















";es;12;14;MOP4;4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 3, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 3, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;4
"
9
5

10

6
5

5

5

5,7
10
5
7,11
5
7
7";"















The words ""eight-create""


";no;14;17;MOP4;4, 2, 2, 4, 3, 4, 2, 3, 4, 1, 4, 2, 4, 2, 2, 2, 2, 3, 2, 3;3, 3, 3, 3, 3, 1, 2, 1, 1, 4, 1, 4, 2, 1, 3, 3, 1;4, 2, 2, 4, 3, 4, 2, 3, 4, 1, 4, 2, 4, 2, 2, 2, 2, 3, 2, 3,3, 3, 3, 3, 3, 1, 2, 1, 1, 4, 1, 4, 2, 1, 3, 3, 1;Also in that eight - create league were Joe DiMaggio , Joe Gordon, and Stan Musial .;16
"6
5,10
6,8
11
5,6
8
5
5,6
6
7
6
6
5,6
5,6
5,6
5,9
5,6


";"


sentence fragment















";en;8;18;MOP4;3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 3, 2, 1, 1, 2, 1, 1, 4, 4, 4;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 3, 2, 1, 1, 2, 1, 1, 4, 4, 4,2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;26
"


9

9
6
6



7
11




6,9
5
6";"











And






";no;9;14;MOP4;4, 4, 4, 3, 4, 3, 2, 3, 4, 4, 4, 3, 2, 4, 4, 4, 4, 3, 3, 3;3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3;4, 4, 4, 3, 4, 3, 2, 3, 4, 4, 4, 3, 2, 4, 4, 4, 4, 3, 3, 3,3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3;And now he is the coach of KK Bosna.;10
"8,9
7,9
8
8

10


8
8,9
9
8
8



5

5
";"


















";en;14;14;MOP4;2, 1, 3, 2, 4, 3, 4, 4, 2, 2, 1, 3, 2, 4, 4, 4, 2, 4, 2, 4;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;2, 1, 3, 2, 4, 3, 4, 4, 2, 2, 1, 3, 2, 4, 4, 4, 2, 4, 2, 4,4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;15
"



6




7





5



";"


















";es;9;16;MOP4;4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Banchory is known as the gateway to Royal Deeside.;3
"5
6,10
9,10

10


5,9

5
5

5,9


9
10
5,9,10
5
";"


















";ja;21;14;MOP4;3, 3, 2, 4, 3, 4, 4, 2, 4, 2, 1, 4, 1, 4, 4, 2, 3, 1, 1, 4;3, 3, 3, 1, 1, 1, 4, 2, 3, 1, 2, 3, 3, 1;3, 3, 2, 4, 3, 4, 4, 2, 4, 2, 1, 4, 1, 4, 4, 2, 3, 1, 1, 4,3, 3, 3, 1, 1, 1, 4, 2, 3, 1, 2, 3, 3, 1;Based on the relational algebra , relational database model , introduced a Structured Query Language (SQL) that does not depend on the programming language .;18
"7
9
9,10
7

7,9
5,11
5

5
5,9
5,7,9


6,7

5
9
5,7,9
5";"





doesn't really make sense in the wording












";ja;25;17;MOP4;3, 3, 3, 2, 4, 2, 1, 1, 4, 3, 1, 2, 4, 4, 2, 4, 1, 2, 1, 1;2, 2, 1, 3, 1, 2, 3, 2, 4, 1, 4, 1, 2, 4, 1, 1, 2;3, 3, 3, 2, 4, 2, 1, 1, 4, 3, 1, 2, 4, 4, 2, 4, 1, 2, 1, 1,2, 2, 1, 3, 1, 2, 3, 2, 4, 1, 4, 1, 2, 4, 1, 1, 2;Because she had finished constitute enough material for two albums already , she was submitted to them at a meeting for planning the debut of her .;24
"7,9
5,9
5,9
9,10
5
9
9
9

9
9
5,9
6,9
9
7

10

5,9
5,6";"


















";zh;13;16;MOP4;2, 2, 3, 2, 1, 3, 3, 3, 4, 3, 2, 2, 2, 2, 3, 4, 3, 4, 2, 1;2, 2, 2, 1, 3, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 4;2, 2, 3, 2, 1, 3, 3, 3, 4, 3, 2, 2, 2, 2, 3, 4, 3, 4, 2, 1,2, 2, 2, 1, 3, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 4;Before digital technology became widespread for decades, the scanned data is transmitted analog .;25
"5,9,10

9

9




7";"








";en;25;16;MOP4;1, 4, 3, 4, 3, 4, 4, 4, 4, 3;4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2;1, 4, 3, 4, 3, 4, 4, 4, 4, 3,4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2;Bill S. Johnson ( 5 January 1886 – 5 October 1964 ) was an Australian rules footballer who played for Essendon and Carlton in the Victorian Football League (VFL ) .;6
"
5,8


9



6
6



6
8,10


5

7";"


















";en;10;15;MOP4;4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 3, 4, 4, 3, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 3, 4, 4, 3, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;Born in Jiangxi , he started learning guqin in his childhood .;10
"



7
8
5


9,10








5
";"


















";en;12;17;MOP4;4, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;Born in New York , Pajak attended public schools in Buffalo , New York .;6
"5,9
9


5,9


5,9
9
5
9
9
5,6


5,9

9
9
5,10";"


















";zh;15;18;MOP4;2, 3, 4, 4, 2, 4, 4, 2, 2, 2, 2, 3, 3, 4, 4, 2, 4, 2, 3, 2;4, 3, 2, 4, 1, 3, 4, 4, 1, 2, 2, 4, 2, 2, 2, 3, 1, 2;2, 3, 4, 4, 2, 4, 4, 2, 2, 2, 2, 3, 3, 4, 4, 2, 4, 2, 3, 2,4, 3, 2, 4, 1, 3, 4, 4, 1, 2, 2, 4, 2, 2, 2, 3, 1, 2;Brydan Klein and Denmark Propoggia is the defending champion , but Klein chose not to compete.;19
"




9

9,10








10


";"


















";no;20;18;MOP4;4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2;4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2;But as with the members of any organization, some missionaries use certain missionary specific jargon when communicating with each other .;4
"5
7,9
11

9
5
9
5,9,10

9

6,9,10


9

6

5
11";"

doesn't make sense
















Sentence does not make sense, multiple mistakes including punctuation, the use of the word name instead of town, the use of in instead of within.";zh;18;15;MOP4;2, 3, 1, 4, 2, 3, 3, 2, 4, 3, 4, 2, 4, 4, 3, 4, 1, 4, 2, 1;3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 4, 4;2, 3, 1, 4, 2, 3, 3, 2, 4, 3, 4, 2, 4, 4, 3, 4, 1, 4, 2, 1,3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 4, 4;By 1305 , 183 settlers live in the walls of the name , but only 52 in the town's defenses.;18
"7

5,6,7

9
9

5

5,6

6
6

5,10

6
5
5
6,7";"


















";no;19;16;MOP4;3, 4, 1, 4, 2, 3, 4, 2, 4, 3, 4, 2, 2, 4, 2, 4, 3, 2, 2, 2;2, 3, 2, 1, 3, 1, 1, 3, 3, 4, 1, 4, 1, 4, 3, 2;3, 4, 1, 4, 2, 3, 4, 2, 4, 3, 4, 2, 2, 4, 2, 4, 3, 2, 2, 2,2, 3, 2, 1, 3, 1, 1, 3, 3, 4, 1, 4, 1, 4, 3, 2;By 1305 , it was titled 183 settlers living outside the city walls and only 52 in the city's defenses .;18
"5
8





10

7



8
8,10
10

5

10";"


















";en;18;16;MOP4;3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3;4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1;3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3,4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1;By the early 770s , it appears that Offa was attempting to rule Kent directly , and a rebellion followed .;10
"5
5
5
6,9

6
10

5
7
9

5
5
5



10
";"


















";ja;11;16;MOP4;2, 2, 1, 2, 4, 2, 3, 4, 2, 3, 3, 4, 2, 3, 2, 4, 4, 4, 3, 4;1, 3, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 2, 2, 3, 1;2, 2, 1, 2, 4, 2, 3, 4, 2, 3, 3, 4, 2, 3, 2, 4, 4, 4, 3, 4,1, 3, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 2, 2, 3, 1;Calhoun County , Texas , Seadrift is a city of the United States .;14
"5,9
5,6
5,9
6,10
11
5

5
5


5,6,9,10
7



5,6,10
5
5
10";"



This is not a sentence - just a list.














";no;14;15;MOP4;1, 1, 2, 1, 1, 2, 4, 2, 3, 4, 4, 1, 3, 4, 4, 4, 2, 1, 3, 3;3, 1, 4, 1, 2, 2, 1, 3, 1, 4, 3, 3, 3, 2, 1;1, 1, 2, 1, 1, 2, 4, 2, 3, 4, 4, 1, 3, 4, 4, 4, 2, 1, 3, 3,3, 1, 4, 1, 2, 2, 1, 3, 1, 4, 3, 3, 3, 2, 1;Cambodia , East Timor , Indonesia, Bangladesh , Burma, Nepal, India , Mongolia , Pakistan , Philippines , Sri Lanka , Vietnam;23
"7
8,9
9


6,7
11
6,10

5,7
5,9,10
10


9,10
5
5,7

5,7
10";"





doesn't really make sense in the wording












";zh;24;15;MOP4;3, 2, 3, 4, 4, 3, 2, 2, 4, 2, 1, 3, 4, 4, 2, 2, 2, 4, 2, 3;2, 4, 3, 3, 4, 3, 2, 3, 3, 1, 3, 1, 1, 3, 1;3, 2, 3, 4, 4, 3, 2, 2, 4, 2, 1, 3, 4, 4, 2, 2, 2, 4, 2, 3,2, 4, 3, 3, 4, 3, 2, 3, 3, 1, 3, 1, 1, 3, 1;Carl's oral history by Bancroft Library at the University of California at Berkeley , was placed in his file Environmental Design , University of California , Berkeley .;23
"






10
6
6


10
10
5

5


";"


















";en;16;15;MOP4;4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 1, 4, 2, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 1, 4, 2, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Characters , weapons and vehicles of all the factions have been released as toys or promotional materials .;7
"

5,9,10

5,9


5,9

6
9
5,10


9
9

5,9

5,7";"


















";es;10;14;MOP4;4, 4, 2, 4, 3, 4, 4, 3, 4, 2, 3, 1, 4, 4, 3, 3, 4, 3, 4, 2;2, 1, 4, 3, 4, 4, 4, 2, 1, 2, 2, 3, 2, 3;4, 4, 2, 4, 3, 4, 4, 3, 4, 2, 3, 1, 4, 4, 3, 3, 4, 3, 4, 2,2, 1, 4, 3, 4, 4, 4, 2, 1, 2, 2, 3, 2, 3;Charles Stanley Group plc is a British management company investments.;17
"
9



6













";"


















";en;11;16;MOP4;4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2;4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2;Clepsis illustrana is a species of moth of the Tortricidae family .;2
"5,9
9


6,9


9
5
5
5
6
5
6
5,6
5
6
6
9
5";"


















";zh;10;18;MOP4;2, 3, 4, 4, 2, 4, 4, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2;3, 2, 1, 3, 2, 3, 1, 2, 1, 1, 4, 4, 1, 3, 3, 3, 4, 2;2, 3, 4, 4, 2, 4, 4, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2,3, 2, 1, 3, 2, 3, 1, 2, 1, 1, 4, 4, 1, 3, 3, 3, 4, 2;Clepsis illustrana is Tortricidae family of a species of moth .;19
"5,6,9,10
5,9
9
9
9
8
6,7,9

5
5,9

9
9

5,6,9,10
5,9
9
9
9
9";"


















";zh;19;15;MOP4;1, 1, 2, 2, 3, 2, 3, 4, 3, 3, 4, 2, 2, 4, 1, 2, 1, 2, 2, 2;3, 1, 1, 2, 1, 2, 2, 4, 4, 1, 1, 1, 2, 1, 3;1, 1, 2, 2, 3, 2, 3, 4, 3, 3, 4, 2, 2, 4, 1, 2, 1, 2, 2, 2,3, 1, 1, 2, 1, 2, 2, 4, 4, 1, 1, 1, 2, 1, 3;Continuous do not see the future with Kid Rock after this and released him from his contract in 1994 .;28
"9
9




10
7,8

10



9





11";"


















Continuum";en;18;15;MOP4;3, 3, 4, 4, 4, 4, 3, 2, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;3, 3, 4, 4, 4, 4, 3, 2, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Continuum didn't see a future with Kid Rock after this , and released him from his contract in 1994 .;8
"7

6

9






10



10
5,6


10";"


















";es;9;16;MOP4;3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 2;4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 1;3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 2,4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 1;Council appointed the Division 4 Councillor John Whaley Mayor .;8
"










5







8";"


















";es;8;15;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Danmarks Radio has an office in the city.;2
"5,6,7,9,10

8,9
5
9,10

9
7";"






";ja;14;15;MOP4;1, 4, 3, 2, 2, 4, 3, 1;3, 1, 3, 4, 1, 1, 2, 2, 2, 4, 2, 1, 1, 1, 3;1, 4, 3, 2, 2, 4, 3, 1,3, 1, 3, 4, 1, 1, 2, 2, 2, 4, 2, 1, 1, 1, 3;Despite the loss of some of his eyes , John Horus fends cut off his attack .;12
"5
8

9,10

5
9,10
5,9,10

5,6,7
5
5,10
7

9
5,8,10
5,7,10
5,7,10

";"


















";ja;24;18;MOP4;3, 2, 4, 3, 4, 3, 2, 2, 4, 1, 1, 1, 2, 4, 3, 2, 3, 1, 4, 4;1, 2, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 2, 4, 2;3, 2, 4, 3, 4, 3, 2, 2, 4, 1, 1, 1, 2, 4, 3, 2, 3, 1, 4, 4,1, 2, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 2, 4, 2;During the second half of her career , Pereira , refused to rich experience difficulty with director of the museum and gallery owners and Abstract Expressionism .;27
"

5
10
10
5
9
5
9,10
5
11

5,11

9
5
8,9
6,7
6,10
9";"









stages seems wrong because stages are not usually named after people.  maybe is should be ""names of several people""

it is stage names not the name of several stages






";zh;16;16;MOP4;4, 4, 3, 3, 3, 3, 2, 3, 2, 2, 3, 4, 2, 4, 3, 2, 2, 3, 2, 3;3, 2, 3, 4, 4, 4, 4, 2, 2, 3, 4, 4, 1, 3, 2, 1;4, 4, 3, 3, 3, 3, 2, 3, 2, 2, 3, 4, 2, 4, 3, 2, 2, 3, 2, 3,3, 2, 3, 4, 4, 4, 4, 2, 2, 3, 4, 4, 1, 3, 2, 1;During this time , he used the name of several stages , including Don Maxwell and Chester Lad .;21
"


















7";"


















";es;12;15;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Each group was asked to rate both the best and worst politicians .;1
"7




9,10

10



6,7,9,10

5,7
5
10
5,10
5,9,10

";"


















";zh;20;18;MOP4;2, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 4, 3, 2, 3, 1, 2, 4, 4;3, 2, 3, 1, 4, 1, 3, 4, 3, 3, 4, 4, 2, 3, 1, 2, 2, 1;2, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 4, 3, 2, 3, 1, 2, 4, 4,3, 2, 3, 1, 4, 1, 3, 4, 3, 3, 4, 4, 2, 3, 1, 2, 2, 1;Endo Pharmaceuticals building construction due to the contours of the cushion can be described as shallow and wide landscape plan .;17
"

10
9,10

5,10
9

10
5
10
5
5,8,9,10
10
6
9
5
5,6,9
5
5,7,9";"


















";es;22;18;MOP4;4, 4, 3, 2, 4, 3, 3, 4, 2, 2, 3, 3, 1, 3, 3, 2, 1, 2, 1, 1;2, 2, 1, 3, 1, 4, 2, 4, 4, 1, 1, 2, 3, 1, 2, 1, 1, 1;4, 4, 3, 2, 4, 3, 3, 4, 2, 2, 3, 3, 1, 3, 3, 2, 1, 2, 1, 1,2, 2, 1, 3, 1, 4, 2, 4, 4, 1, 1, 2, 3, 1, 2, 1, 1, 1;Endo Pharmaceuticals The building can be described as a mat building due to its shallow and wide in the landscape plan profile.;25
