"followup1","other1","language","length","mop","how_natural","rating_list","merged_ratings","text","number_of_reasons","max_workers","mean_rating","std_dev","std_dev_dropoff"
"5,9,10,,8,9,5,9,10,,","





","es",17,"MOP4","1, 4, 2, 3, 2, 4, 4","1, 1, 2, 1, 3, 3, 3, 4, 4, 1, 3, 4, 4, 2","1, 4, 2, 3, 2, 4, 4,1, 1, 2, 1, 3, 3, 3, 4, 4, 1, 3, 4, 4, 2","Adults are on wing from June to July in North America and May to July in Europe .",10,21,2.66666666666667,1.19721899973786,0.0143239245161384
"6,,,5,,5,9,10,5,5,9,10,,,5,6,5,8,9,10,5,5,,,6,10,5,5","


















","ja",20,"MOP4","3, 4, 4, 2, 4, 1, 2, 1, 4, 4, 1, 2, 2, 1, 2, 4, 4, 1, 1, 2","4, 1, 2, 3, 2, 2, 4, 1, 4, 1, 1, 3, 1, 2","3, 4, 4, 2, 4, 1, 2, 1, 4, 4, 1, 2, 2, 1, 2, 4, 4, 1, 1, 2,4, 1, 2, 3, 2, 2, 4, 1, 4, 1, 1, 3, 1, 2","After the investigation , he put the responsibility of the meat problem only subcontractors acquitted the vendor and his Ninian Edwards .",28,34,2.35294117647059,1.22801522399941,0.0126759205361757
"5,6,6,,,6,6,,,5,6,10,,11,,5,5,6,5,,,5","











It does not sound like a complete sentence






","no",10,"MOP4","2, 3, 1, 4, 4, 3, 2, 4, 4, 3, 3, 4, 3, 4, 2, 3, 3, 4, 4, 2","4, 4, 4, 4, 4, 1, 1, 2, 4, 2, 4, 3, 3, 2, 3, 2","2, 3, 1, 4, 4, 3, 2, 4, 4, 3, 3, 4, 3, 4, 2, 3, 3, 4, 4, 2,4, 4, 4, 4, 4, 1, 1, 2, 4, 2, 4, 3, 3, 2, 3, 2","All located within the Okataina caldera , along the western edge .",22,36,3.02777777777778,0.999603095836717,0.0136776983730807
",9,,,,,,5,,,,,11,,,9,,5,,9","











genus






","en",12,"MOP4","4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 2, 4, 2","3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2","4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 2, 4, 2,3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 2","Alpheias baccalis is a species of snout moths in the genus  Alpheias  .",20,39,3.56410256410256,0.787897662165515,0.161884969089814
",,,,9,,,,,,7,,,9,,10,,,,","


















","es",12,"MOP4","4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 3, 4, 4, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 4, 3, 4, 3, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","Alpheias baccalis is a species of snout moths in the genus  Alpheias  .",19,34,3.79411764705882,0.538201931502558,0.00314088584454575
",9,5,,10,,6,5,,5,,5,,5,7,10,5,7,11,5,7,7","















The words ""eight-create""


","no",14,"MOP4","4, 2, 2, 4, 3, 4, 2, 3, 4, 1, 4, 2, 4, 2, 2, 2, 2, 3, 2, 3","3, 3, 3, 3, 3, 1, 2, 1, 1, 4, 1, 4, 2, 1, 3, 3, 1","4, 2, 2, 4, 3, 4, 2, 3, 4, 1, 4, 2, 4, 2, 2, 2, 2, 3, 2, 3,3, 3, 3, 3, 3, 1, 2, 1, 1, 4, 1, 4, 2, 1, 3, 3, 1","Also in that eight - create league were Joe DiMaggio , Joe Gordon, and Stan Musial .",22,37,2.54054054054054,1.0433544884595,0.0062285307760388
"6,5,10,6,8,11,5,6,8,5,5,6,6,7,6,6,5,6,5,6,5,6,5,9,5,6,,,","


sentence fragment















","en",8,"MOP4","3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 3, 2, 1, 1, 2, 1, 1, 4, 4, 4","2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2","3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 3, 2, 1, 1, 2, 1, 1, 4, 4, 4,2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2","and is currently held by two Labour Councillors .",28,38,2.36842105263158,1.10088545766404,0.00429713875547266
",,,9,,9,6,6,,,,7,11,,,,,6,9,5,6","











And






","no",9,"MOP4","4, 4, 4, 3, 4, 3, 2, 3, 4, 4, 4, 3, 2, 4, 4, 4, 4, 3, 3, 3","3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3","4, 4, 4, 3, 4, 3, 2, 3, 4, 4, 4, 3, 2, 4, 4, 4, 4, 3, 3, 3,3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3","And now he is the coach of KK Bosna.",21,34,3.5,0.662867965279617,0.0439459054618784
"8,9,7,9,8,8,,10,,,8,8,9,9,8,8,,,,5,,5,","


















","en",14,"MOP4","2, 1, 3, 2, 4, 3, 4, 4, 2, 2, 1, 3, 2, 4, 4, 4, 2, 4, 2, 4","4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2","2, 1, 3, 2, 4, 3, 4, 4, 2, 2, 1, 3, 2, 4, 4, 4, 2, 4, 2, 4,4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2","As of November 2013 , Murkudis is now longer with Closed due to creative differences .",22,34,2.73529411764706,1.13641711104127,0.00614297420024745
",,,,6,,,,,7,,,,,,5,,,,","


















","es",9,"MOP4","4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","Banchory is known as the gateway to Royal Deeside.",19,36,3.88888888888889,0.318727629155838,0.0308253878746017
"5,6,10,9,10,,10,,,5,9,,5,5,,5,9,,,9,10,5,9,10,5,","


















","ja",21,"MOP4","3, 3, 2, 4, 3, 4, 4, 2, 4, 2, 1, 4, 1, 4, 4, 2, 3, 1, 1, 4","3, 3, 3, 1, 1, 1, 4, 2, 3, 1, 2, 3, 3, 1","3, 3, 2, 4, 3, 4, 4, 2, 4, 2, 1, 4, 1, 4, 4, 2, 3, 1, 1, 4,3, 3, 3, 1, 1, 1, 4, 2, 3, 1, 2, 3, 3, 1","Based on the relational algebra , relational database model , introduced a Structured Query Language (SQL) that does not depend on the programming language .",25,34,2.55882352941176,1.15970676728915,0.000364837842297128
"7,9,9,10,7,,7,9,5,11,5,,5,5,9,5,7,9,,,6,7,,5,9,5,7,9,5","





doesn't really make sense in the wording












","ja",25,"MOP4","3, 3, 3, 2, 4, 2, 1, 1, 4, 3, 1, 2, 4, 4, 2, 4, 1, 2, 1, 1","2, 2, 1, 3, 1, 2, 3, 2, 4, 1, 4, 1, 2, 4, 1, 1, 2","3, 3, 3, 2, 4, 2, 1, 1, 4, 3, 1, 2, 4, 4, 2, 4, 1, 2, 1, 1,2, 2, 1, 3, 1, 2, 3, 2, 4, 1, 4, 1, 2, 4, 1, 1, 2","Because she had finished constitute enough material for two albums already , she was submitted to them at a meeting for planning the debut of her .",29,37,2.27027027027027,1.14621717567563,0.0111487121573111
"7,9,5,9,5,9,9,10,5,9,9,9,,9,9,5,9,6,9,9,7,,10,,5,9,5,6","


















","zh",13,"MOP4","2, 2, 3, 2, 1, 3, 3, 3, 4, 3, 2, 2, 2, 2, 3, 4, 3, 4, 2, 1","2, 2, 2, 1, 3, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 4","2, 2, 3, 2, 1, 3, 3, 3, 4, 3, 2, 2, 2, 2, 3, 4, 3, 4, 2, 1,2, 2, 2, 1, 3, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 4","Before digital technology became widespread for decades, the scanned data is transmitted analog .",28,36,2.36111111111111,0.86694134841251,0.0548227967899758
"5,9,10,,9,,9,,,,,7","








","en",25,"MOP4","1, 4, 3, 4, 3, 4, 4, 4, 4, 3","4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2","1, 4, 3, 4, 3, 4, 4, 4, 4, 3,4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2","Bill S. Johnson ( 5 January 1886 – 5 October 1964 ) was an Australian rules footballer who played for Essendon and Carlton in the Victorian Football League (VFL ) .",12,26,3.61538461538462,0.752431954500768,0.0621789028144183
",5,8,,,9,,,,6,6,,,,6,8,10,,,5,,7","


















","en",10,"MOP4","4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 3, 4, 4, 3, 4, 3","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 3, 4, 4, 3, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","Born in Jiangxi , he started learning guqin in his childhood .",22,35,3.71428571428571,0.518562978841732,0.00179856970981918
",,,,7,8,5,,,9,10,,,,,,,,,5,","


















","en",12,"MOP4","4, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","4, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3","Born in New York , Pajak attended public schools in Buffalo , New York .",20,37,3.81081081081081,0.46175016319782,0.00893450886735975
"5,9,9,,,5,9,,,5,9,9,5,9,9,5,6,,,5,9,,9,9,5,10","


















","zh",15,"MOP4","2, 3, 4, 4, 2, 4, 4, 2, 2, 2, 2, 3, 3, 4, 4, 2, 4, 2, 3, 2","4, 3, 2, 4, 1, 3, 4, 4, 1, 2, 2, 4, 2, 2, 2, 3, 1, 2","2, 3, 4, 4, 2, 4, 4, 2, 2, 2, 2, 3, 3, 4, 4, 2, 4, 2, 3, 2,4, 3, 2, 4, 1, 3, 4, 4, 1, 2, 2, 4, 2, 2, 2, 3, 1, 2","Brydan Klein and Denmark Propoggia is the defending champion , but Klein chose not to compete.",26,38,2.73684210526316,1.00496633065332,0.0246035859964713
",,,,,9,,9,10,,,,,,,,,10,,,","


















","no",20,"MOP4","4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4","4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2","4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2","But as with the members of any organization, some missionaries use certain missionary specific jargon when communicating with each other .",20,38,3.73684210526316,0.601089574937173,0.0763069290762166
"5,7,9,11,,9,5,9,5,9,10,,9,,6,9,10,,,9,,6,,5,11","

doesn't make sense
















Sentence does not make sense, multiple mistakes including punctuation, the use of the word name instead of town, the use of in instead of within.","zh",18,"MOP4","2, 3, 1, 4, 2, 3, 3, 2, 4, 3, 4, 2, 4, 4, 3, 4, 1, 4, 2, 1","3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 4, 4","2, 3, 1, 4, 2, 3, 3, 2, 4, 3, 4, 2, 4, 4, 3, 4, 1, 4, 2, 1,3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 4, 4","By 1305 , 183 settlers live in the walls of the name , but only 52 in the town's defenses.",25,35,2.54285714285714,1.0666841735258,0.0331553552619759
"7,,5,6,7,,9,9,,5,,5,6,,6,6,,5,10,,6,5,5,6,7","


















","no",19,"MOP4","3, 4, 1, 4, 2, 3, 4, 2, 4, 3, 4, 2, 2, 4, 2, 4, 3, 2, 2, 2","2, 3, 2, 1, 3, 1, 1, 3, 3, 4, 1, 4, 1, 4, 3, 2","3, 4, 1, 4, 2, 3, 4, 2, 4, 3, 4, 2, 2, 4, 2, 4, 3, 2, 2, 2,2, 3, 2, 1, 3, 1, 1, 3, 3, 4, 1, 4, 1, 4, 3, 2","By 1305 , it was titled 183 settlers living outside the city walls and only 52 in the city's defenses .",25,36,2.63888888888889,1.07312035745638,0.0246005029375711
"5,8,,,,,,10,,7,,,,8,8,10,10,,5,,10","


















","en",18,"MOP4","3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3","4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1","3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3,4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1","By the early 770s , it appears that Offa was attempting to rule Kent directly , and a rebellion followed .",21,36,3.44444444444444,0.808683036775382,0.102206756633683
"5,5,5,6,9,,6,10,,5,7,9,,5,5,5,,,,10,","


















","ja",11,"MOP4","2, 2, 1, 2, 4, 2, 3, 4, 2, 3, 3, 4, 2, 3, 2, 4, 4, 4, 3, 4","1, 3, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 2, 2, 3, 1","2, 2, 1, 2, 4, 2, 3, 4, 2, 3, 3, 4, 2, 3, 2, 4, 4, 4, 3, 4,1, 3, 2, 2, 2, 4, 4, 4, 4, 2, 4, 2, 2, 2, 3, 1","Calhoun County , Texas , Seadrift is a city of the United States .",20,36,2.77777777777778,1.0173104909125,0.0182021540412173
"5,9,5,6,5,9,6,10,11,5,,5,5,,,5,6,9,10,7,,,,5,6,10,5,5,10","



This is not a sentence - just a list.














","no",14,"MOP4","1, 1, 2, 1, 1, 2, 4, 2, 3, 4, 4, 1, 3, 4, 4, 4, 2, 1, 3, 3","3, 1, 4, 1, 2, 2, 1, 3, 1, 4, 3, 3, 3, 2, 1","1, 1, 2, 1, 1, 2, 4, 2, 3, 4, 4, 1, 3, 4, 4, 4, 2, 1, 3, 3,3, 1, 4, 1, 2, 2, 1, 3, 1, 4, 3, 3, 3, 2, 1","Cambodia , East Timor , Indonesia, Bangladesh , Burma, Nepal, India , Mongolia , Pakistan , Philippines , Sri Lanka , Vietnam",29,35,2.4,1.1682062670406,0.0068179106603572
"7,8,9,9,,,6,7,11,6,10,,5,7,5,9,10,10,,,9,10,5,5,7,,5,7,10","





doesn't really make sense in the wording












","zh",24,"MOP4","3, 2, 3, 4, 4, 3, 2, 2, 4, 2, 1, 3, 4, 4, 2, 2, 2, 4, 2, 3","2, 4, 3, 3, 4, 3, 2, 3, 3, 1, 3, 1, 1, 3, 1","3, 2, 3, 4, 4, 3, 2, 2, 4, 2, 1, 3, 4, 4, 2, 2, 2, 4, 2, 3,2, 4, 3, 3, 4, 3, 2, 3, 3, 1, 3, 1, 1, 3, 1","Carl's oral history by Bancroft Library at the University of California at Berkeley , was placed in his file Environmental Design , University of California , Berkeley .",29,35,2.65714285714286,0.998317913022793,0.0145481074772934
",,,,,,,10,6,6,,,10,10,5,,5,,,","


















","en",16,"MOP4","4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 1, 4, 2, 4, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 1, 4, 2, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","Characters , weapons and vehicles of all the factions have been released as toys or promotional materials .",19,35,3.68571428571429,0.676123403782813,0.00783787458243923
",,5,9,10,,5,9,,,5,9,,6,9,5,10,,,9,9,,5,9,,5,7","


















","es",10,"MOP4","4, 4, 2, 4, 3, 4, 4, 3, 4, 2, 3, 1, 4, 4, 3, 3, 4, 3, 4, 2","2, 1, 4, 3, 4, 4, 4, 2, 1, 2, 2, 3, 2, 3","4, 4, 2, 4, 3, 4, 4, 3, 4, 2, 3, 1, 4, 4, 3, 3, 4, 3, 4, 2,2, 1, 4, 3, 4, 4, 4, 2, 1, 2, 2, 3, 2, 3","Charles Stanley Group plc is a British management company investments.",27,34,3,1.0150384378451,0.0162268357465787
",9,,,,6,,,,,,,,,,,,,,","


















","en",11,"MOP4","4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4","4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2","4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2","Clepsis illustrana is a species of moth of the Tortricidae family .",19,36,3.80555555555556,0.467176592151157,0.107685964197586
"5,9,9,,,6,9,,,9,5,5,5,6,5,6,5,6,5,6,6,9,5","


















","zh",10,"MOP4","2, 3, 4, 4, 2, 4, 4, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2","3, 2, 1, 3, 2, 3, 1, 2, 1, 1, 4, 4, 1, 3, 3, 3, 4, 2","2, 3, 4, 4, 2, 4, 4, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2,3, 2, 1, 3, 2, 3, 1, 2, 1, 1, 4, 4, 1, 3, 3, 3, 4, 2","Clepsis illustrana is Tortricidae family of a species of moth .",23,38,2.57894736842105,0.976247059652102,0.00687481965214187
"5,6,9,10,5,9,9,9,9,8,6,7,9,,5,5,9,,9,9,,5,6,9,10,5,9,9,9,9,9","


















","zh",19,"MOP4","1, 1, 2, 2, 3, 2, 3, 4, 3, 3, 4, 2, 2, 4, 1, 2, 1, 2, 2, 2","3, 1, 1, 2, 1, 2, 2, 4, 4, 1, 1, 1, 2, 1, 3","1, 1, 2, 2, 3, 2, 3, 4, 3, 3, 4, 2, 2, 4, 1, 2, 1, 2, 2, 2,3, 1, 1, 2, 1, 2, 2, 4, 4, 1, 1, 1, 2, 1, 3","Continuous do not see the future with Kid Rock after this and released him from his contract in 1994 .",31,35,2.14285714285714,1.03306674070764,0.00137792072948173
"9,9,,,,,10,7,8,,10,,,,9,,,,,,11","


















Continuum","en",18,"MOP4","3, 3, 4, 4, 4, 4, 3, 2, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","3, 3, 4, 4, 4, 4, 3, 2, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","Continuum didn't see a future with Kid Rock after this , and released him from his contract in 1994 .",21,35,3.74285714285714,0.505432670960188,0.00354230504952469
"7,,6,,9,,,,,,,10,,,,10,5,6,,,10","


















","es",9,"MOP4","3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 2","4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 1","3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 2,4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 1","Council appointed the Division 4 Councillor John Whaley Mayor .",21,36,3.44444444444444,0.808683036775382,0.101576255588835
",,,,,,,,,,,5,,,,,,,,8","


















","es",8,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","Danmarks Radio has an office in the city.",20,35,3.91428571428571,0.284028640998691,0.0417227986999106
"5,6,7,9,10,,8,9,5,9,10,,9,7","






","ja",14,"MOP4","1, 4, 3, 2, 2, 4, 3, 1","3, 1, 3, 4, 1, 1, 2, 2, 2, 4, 2, 1, 1, 1, 3","1, 4, 3, 2, 2, 4, 3, 1,3, 1, 3, 4, 1, 1, 2, 2, 2, 4, 2, 1, 1, 1, 3","Despite the loss of some of his eyes , John Horus fends cut off his attack .",14,23,2.21739130434783,1.12639899838259,0.0095922826033954
