"followup1","how_natural","other1","language","length","max_workers","mop","rating_list","text","number_of_reasons"
"7,10",2,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",2
"5",3,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",1
"5",1,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",1
"",4,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",0
"5",1,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",1
"5",2,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",1
"9",2,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",1
"5,6,7,9,10",1,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",5
"5,7",3,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",2
"5",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"6,9",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",2
"7",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"7",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"6",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"",4,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",0
"",4,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",0
"5,6,7,9",3,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",4
"9",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"5",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"5",3,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"",4,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",0
"",4,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",0
"5,6,10",1,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",3
"5",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"5,6",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",2
"5",1,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"6",3,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"6",2,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"5",3,"","zh",16,15,"MOP4","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",1
"9,10",3,"","es",16,17,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A 6 month follow-up after implantation of radioactive stents showed little adverse side effects in patients.",2
"7",3,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",1
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"9",3,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",1
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"7",2,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",1
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"10",3,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",1
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"",4,"","no",20,16,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",0
"7",3,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",1
"9",3,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",1
"8,9",3,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",2
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"8",3,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",1
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"10",3,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",1
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"5",2,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",1
"5,7",2,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",2
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"5",2,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",1
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"9",2,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",1
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"",4,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",0
"7",2,"","es",14,17,"MOP4","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",1
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"7",3,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",1
"9",3,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",1
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
"",4,"","es",15,14,"MOP4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",0
