"MOP","language","text","length","rating_list","mean_rating","worker_1","worker_2","worker_3","worker_4","worker_5","worker_6","worker_7","worker_8","worker_9","worker_10","worker_11","worker_12","worker_13","worker_14","worker_15","worker_16","worker_17","worker_18","worker_19","worker_20","max_workers","std_dev","std_dev_4","std_dev_8","std_dev_12","std_dev_dropoff"
"MOP4","en","Manchester United spotted Whitworth's potential and signed him for a fee of £45,000 in June 1990 .",15,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4",3.9375,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,,,,,16,0.25,0,0,0,0.0172612419124244
"MOP4","en","These cooling rates can be achieved by simple casting into metallic molds .",12,"4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3",3.64705882353,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,4,3,,,,17,0.492592183071889,0,0.462910049886276,0.389249472080761,0.00464214659762241
"MOP4","en","The socks include a design that features anatomically placed cushioning and an Achilles protector .",14,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3",3.9375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,,,,,16,0.25,0,0,0,0.25
"MOP4","en","The lifebuoy usually is ring- or horseshoe-shaped and has a connecting line allowing the casualty to be pulled to the rescuer .",21,"4, 4, 2, 2, 3, 3, 4, 4, 3, 4, 2, 4, 3, 4, 4, 4, 4, 3",3.38888888889,4,4,2,2,3,3,4,4,3,4,2,4,3,4,4,4,4,3,,,18,0.777544316035229,1.15470053837925,0.886405260427918,0.866025403784439,0.0286814587946256
"MOP4","en","A 6-month follow up post-implantation of the radioactive stents showed little adverse side-effects in the patients .",16,"4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4",3.66666666667,4,3,4,3,4,3,4,4,4,4,3,3,4,4,4,,,,,,15,0.487950036474267,0.577350269189626,0.517549169506766,0.514928650544437,0.0184196470675667
"MOP4","en","In late 2009 the hotel was purchased by Hongkong and Shanghai Hotels who previously owned 92.5 % of the hotel before the takeover .",22,"4, 4, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4",3.70588235294,4,4,4,4,2,4,4,4,3,4,3,3,4,4,4,4,4,,,,17,0.587867532097255,0,0.707106781186548,0.668557923421521,0.0293458677511123
"MOP4","en","In 1981 , the hotel was one of the founding members of the International Association of Conference Centers ( IACC) .",18,"4, 4, 4, 2, 4, 4, 3, 3, 4, 4, 4, 2, 4, 4, 3",3.53333333333,4,4,4,2,4,4,3,3,4,4,4,2,4,4,3,,,,,,15,0.743223352957207,1,0.755928946018454,0.797724035217466,0.0330266728489782
"MOP4","en","The Bălșoara River is a tributary of the Beica River in Romania .",12,"4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",3.88888888889,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,,18,0.323380833381777,0.5,0.462910049886276,0.389249472080761,0.0181841921502093
"MOP4","en"," I never coached a group of kids that had more courage ,  he said .",13,"4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3",3.75,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,3,,,,,16,0.577350269189626,0,0.353553390593274,0.621581560508061,0.0015839543322137
"MOP4","en","For example , several counties , including Yorkshire , had instituted winter pay before Pullin's writings were published .",15,"4, 3, 4, 1, 3, 3, 4, 3, 4, 2, 3, 4, 3, 4, 4, 3, 3, 4",3.27777777778,4,3,4,1,3,3,4,3,4,2,3,4,3,4,4,3,3,4,,,18,0.826442094733631,1.4142135623731,0.991031208965115,0.937436866561092,0.0299067438440439
"MOP4","en","In 2013 with Bangla Vision made a dramatic thriller in Qatar titled  Valentine  starring Emon , Sarika , Shahnur and directed by M-SIB .",21,"2, 3, 3, 2, 4, 3, 3, 3, 1, 4, 2, 3, 4, 2, 3, 2, 1",2.64705882353,2,3,3,2,4,3,3,3,1,4,2,3,4,2,3,2,1,,,,17,0.931475742477242,0.577350269189626,0.640869944461656,0.866025403784439,0.0695841351059074
"MOP4","en","The Steel Shirts wore an armband showing a torch bearing hand .",11,"4, 2, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 3, 2",3.29411764706,4,2,4,4,3,3,3,4,3,4,3,4,4,3,3,3,2,,,,17,0.685994340570035,1,0.744023809142845,0.668557923421521,0.0535388085363595
"MOP4","en","Several awards have been granted to Mark Wheat in recognition of his talents .",13,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4",3.9375,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,,,,,16,0.25,0,0,0.288675134594813,0.0172612419124244
"MOP4","en","Since the forests of the temperate zone were already in use , the supply of the wood pulp for paper was fixed .",21,"3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 3, 3, 3",3.5,3,4,4,4,3,3,4,4,3,4,4,4,3,3,3,3,,,,,16,0.516397779494322,0.5,0.517549169506766,0.492365963917331,0.00284518848122672
"MOP4","en","The population as of the 2010 Census was 125.",9,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,16,0,0,0,0,0
"MOP4","en","The force's main task was to form an intelligence-gathering network and , should prospects be favourable , to establish a resistance movement in northern Malaya .",23,"3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4",3.58823529412,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,3,4,,,,17,0.507299656195892,0.5,0.462910049886276,0.522232967867094,0.000207103358782379
"MOP4","en","Onokohwomo was born and raised in Warri , Delta State .",9,"4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 3, 4",3.75,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,4,,,,,16,0.447213595499958,0.5,0.353553390593274,0.389249472080761,0.0213982818736378
"MOP4","en","Giridih station also serves as a gateway for the jain pilgrims visiting Parasnath .",13,"4, 3, 2, 3, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4",3.5625,4,3,2,3,4,4,3,4,4,4,4,3,4,3,4,4,,,,,16,0.629152869605896,0.816496580927726,0.744023809142845,0.674199862463242,0.0212907659820951
"MOP4","en","Though the plane he was to have been on eight years earlier had indeed crashed , Bill had actually missed the flight .",21,"3, 3, 2, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4",3.375,3,3,2,4,4,4,3,3,4,4,4,3,3,3,3,4,,,,,16,0.61913918736689,0.816496580927726,0.707106781186548,0.668557923421521,0.0141845064097605
"MOP4","en","Gaddafi reinforced and expanded the compound in the 1980s with the help of foreign contractors .",15,"4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4",3.94117647059,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,,,,17,0.242535625036333,0,0,0.288675134594813,0.0156632647108281
"MOP4","en","MGM Music is the music publishing and licensing arm of Metro-Goldwyn-Mayer .",11,"4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3",3.86666666667,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,,,,,,15,0.351865775274498,0,0,0.288675134594813,0.0745156771618838
"MOP4","en","Charles Stanley Group plc is a British Investment Management firm .",10,"4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3, 4, 3, 4",3.66666666667,4,4,3,4,4,4,4,4,4,4,3,4,4,2,3,4,3,4,,,18,0.594088525786005,0.5,0.353553390593274,0.389249472080761,0.00799120315361024
"MOP4","en","William Paxton Bishop ( July 16 , 1918 - October 3 , 1959 ) was an American television and movie actor from Oak Park , Illinois .",20,"4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",3.9375,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,16,0.25,0.5,0.353553390593274,0.288675134594813,0.0172612419124244
"MOP4","en","He then replaced Neil Gibson Junior to become the club trainer for three years .",14,"4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4",3.76470588235,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,4,,,,17,0.437237316097603,0,0,0.389249472080761,0.0205003921194604
"MOP4","en","The most common orthography of the word consists of the characters  shin  /kami ( 神 ) , meaning deity  or  something divine , and bu  ( 武 ) , denoting military , chivalry or arms .",22,"3, 3, 2, 4, 3, 3, 1, 3, 3, 3, 4, 4, 1, 3, 4, 3, 4, 2",2.94444444444,3,3,2,4,3,3,1,3,3,3,4,4,1,3,4,3,4,2,,,18,0.937595311059234,0.816496580927726,0.886405260427918,0.852802865422442,0.00888653000889827
"MOP4","en","This sector has opened trade in three-month and six-month futures on USD/KZT rate and on the KASE Index .",18,"3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 2, 4, 3, 3, 2, 4, 3, 2",3.05555555556,3,3,3,3,3,4,3,3,4,3,2,4,3,3,2,4,3,2,,,18,0.639137490706142,0,0.353553390593274,0.577350269189626,0.0199983033392517
"MOP4","en","During the latter part of her career , Pereira rejected abstract expressionism and experienced difficulties with gallery owners and museum directors .",20,"4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4",3.86666666667,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,,,,,,15,0.351865775274498,0,0.353553390593274,0.288675134594813,0.0745156771618838
"MOP4","en","Recent developments have enhanced the usability of the software for expert users , with customisable key bindings , extensions , and an extensive scripting interface .",22,"4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",3.88235294118,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,,,,17,0.332105582077536,0.5,0.462910049886276,0.389249472080761,0.0197601931969627
"MOP4","en","These were rod like structures with skin stretched over them .",10,"4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 3, 4",3.64285714286,4,4,3,4,4,4,3,4,4,3,3,4,3,4,,,,,,,14,0.497245158098847,0.5,0.462910049886276,0.492365963917331,0.00487919418151594
"MOP4","en","Thus , it will probably be eventually assigned to a new , yet-to-be-named subfamily .",12,"3, 3, 3, 4, 4, 3, 4, 3, 4, 1, 3, 2, 4, 3, 4",3.2,3,3,3,4,4,3,4,3,4,1,3,2,4,3,4,,,,,,15,0.861891607371335,0.5,0.517549169506766,0.90033663737852,0.0368254269015825
"MOP4","en","Together they find a young seal , apparently abandoned , on the beach .",11,"3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4",3.71428571429,3,4,4,3,4,4,3,3,4,4,4,4,4,4,,,,,,,14,0.468807230938495,0.577350269189626,0.534522483824849,0.492365963917331,0.0235587329788355
"MOP4","en","EnStream LP is a mobile commerce joint venture company owned by Bell Mobility , Rogers and TELUS -- Canada’s three main wireless companies .",21,"3, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 2",3.6,3,4,2,4,4,3,4,4,4,4,4,4,4,4,2,,,,,,15,0.736788397613007,0.957427107756338,0.755928946018454,0.65133894727893,0.106363225656892
"MOP4","en","SOLS 24/7 set up a training center in the country's capital , Dili .",12,"4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4",3.875,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,,,,,16,0.341565025531987,0,0,0.288675134594813,0.0743037836195622
"MOP4","en","Satiacum was convicted , but the Washington State Supreme Court overturned the conviction .",12,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4",3.94444444444,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,,,18,0.235702260395516,0,0,0,0.0142977396044842
"MOP4","en","By the time the money ran out on the grant , Mary had decided to pursue a doctorate in immunology .",19,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,18,0,0,0,0,0
"MOP4","en","In 2000 local authorities were granted the opportunity to directly elect an executive mayor with far-reaching decision-making powers .",18,"4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",3.9375,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,16,0.25,0.5,0.353553390593274,0.288675134594813,0.0172612419124244
"MOP4","en","As of the 2000 United States Census there were 1,737 people , 544 households , and 473 families residing in the CDP.",20,"4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4",3.77777777778,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,,,18,0.427792631946499,0.5,0.353553390593274,0.288675134594813,0.0246797445315711
"MOP4","en","East Boston is the headquarters for District A-7 of the Boston Police Department .",13,"3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4",3.89473684211,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,,19,0.315301767642306,0.5,0.353553390593274,0.288675134594813,0.0168038144352299
"MOP4","en","According to the 1991 census , the village is located in the municipality of Široki Brijeg .",14,"4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4",3.88888888889,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,,,18,0.323380833381777,0,0.353553390593274,0.389249472080761,0.0181841921502093
"MOP4","en","Take That also used the backing music on the track  Kidz  from their 2010 album  Progress  .",16,"1, 4, 3, 4, 4, 4, 4, 3, 4, 3, 3, 3, 2, 4, 4, 4, 3, 2",3.27777777778,1,4,3,4,4,4,4,3,4,3,3,3,2,4,4,4,3,2,,,18,0.894792486988599,1.4142135623731,1.06066017177982,0.887625364598595,0.00973128383181521
"MOP4","en","Banchory is known as the Gateway to Royal Deeside .",9,"4, 4, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4",3.73333333333,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,,,,,,15,0.457737708217063,0.577350269189626,0.517549169506766,0.492365963917331,0.022646753198198
"MOP4","en","As a result , most members of the Japanese puppet regimes and their military forces rejoined the nationalists .",17,"3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4",3.625,3,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,,,,,16,0.5,0.5,0.462910049886276,0.492365963917331,0.0135525910130955
"MOP4","en","During the communist rule Dr. Najib Ullah agreed to some sort of settlement , however it remained unfulfilled .",17,"4, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3",3.4375,4,4,3,3,4,3,3,3,3,4,4,4,3,3,4,3,,,,,16,0.51234753829798,0.577350269189626,0.517549169506766,0.522232967867094,0.00120505271511551
"MOP4","en","Upon completion of primary education , pupils start studying under the 6-year basic education programme .",14,"4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 3",3.58823529412,4,4,3,4,3,4,4,3,3,4,4,4,4,3,4,3,3,,,,17,0.507299656195892,0.5,0.517549169506766,0.492365963917331,0.0193496197216257
"MOP4","en","While the area lies within Wakatobi National Park , there is currently no environmental protection .",14,"4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4",3.76470588235,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,,,,17,0.437237316097603,0.5,0.353553390593274,0.492365963917331,0.0205003921194604
"MOP4","en","This crew came close to defending the title , finishing 2nd .",10,"4, 3, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4",3.57894736842,4,3,3,4,4,4,4,4,3,3,4,4,4,3,3,4,3,3,4,,19,0.507257273501788,0.577350269189626,0.462910049886276,0.492365963917331,4.23826941042815e-05
"MOP4","en","However , during these years he himself learned English , Tamil , and Kannada .",11,"3, 3, 3, 4, 4, 3, 4, 4, 1, 4, 4, 3, 4, 4, 3, 4",3.4375,3,3,3,4,4,3,4,4,1,4,4,3,4,4,3,4,,,,,16,0.813941029804985,0.5,0.534522483824849,0.887625364598595,0.0376895974476549
"MOP4","en","Botswana has achieved high levels of development and democracy .",9,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,18,0,0,0,0,0
"MOP4","en","They then brought out several coasting vessels that had taken refuge under the guns , all without taking any losses .",19,"4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 2, 2, 3",3.4375,4,4,4,3,3,3,4,4,4,4,4,4,3,2,2,3,,,,,16,0.727438428093173,0.5,0.517549169506766,0.452267016866645,0.0812322554343091
"MOP4","en","Strawberries contain fisetin and possess higher levels of this flavonoid than other fruits .",13,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,16,0,0,0,0,0
"MOP4","en","It is situated about north of Lienz within the Hohe Tauern mountain range of the Central Eastern Alps .",18,"4, 4, 3, 4, 3, 2, 4, 3, 3, 3, 2, 3, 3, 4, 3, 3",3.1875,4,4,3,4,3,2,4,3,3,3,2,3,3,4,3,3,,,,,16,0.655108133567785,0.5,0.744023809142845,0.717740562565273,0.0441850731852831
"MOP4","en","Qun-Quran or Qun-Qiran ( r.1251 – c.1280 ) was the khan of Orda's Ulus .",11,"4, 4, 2, 3, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4",3.5,4,4,2,3,3,4,4,3,4,4,3,4,3,4,3,4,,,,,16,0.632455532033676,0.957427107756338,0.744023809142845,0.674199862463242,0.017988103554315
"MOP4","en","He was later critical of the BCMP and of its prominent figure Marc Emery , and began to propose a separatist party in 2001 .",23,"4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4",3.66666666667,4,4,3,3,4,3,4,4,3,4,4,4,2,4,4,4,4,4,,,18,0.594088525786005,0.577350269189626,0.517549169506766,0.492365963917331,0.0250506615808858
"MOP4","en","Lord Windlesham , made principal in 1989 , was the first to hold Cabinet Office .",13,"4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4",3.72222222222,4,4,3,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4,,,18,0.460888598962477,0.5,0.517549169506766,0.492365963917331,0.0178249549156922
"MOP4","en","Ciano was tied to a chair to be shot in the back .",12,"4, 4, 4, 2, 3, 4, 4, 3, 2, 3, 4, 3, 4, 2",3.28571428571,4,4,4,2,3,4,4,3,2,3,4,3,4,2,,,,,,,14,0.825420305855557,1,0.755928946018454,0.778498944161523,0.046921361694034
"MOP4","en","In April 1894 Riyad finally resigned office on account of ill-health .",11,"3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3",3.625,3,3,4,4,3,4,4,4,4,4,3,4,4,3,4,3,,,,,16,0.5,0.577350269189626,0.517549169506766,0.492365963917331,0.0027548419011531
